#Zeit [s]	longitude [1e6]	Latitude [1e5]	GPSSpeed [1e2 km/h] 	Tacho [1e2 km/h] 	Temperatur [10 C] 	Druck [Pa] 	HoeheSee [10 m]
31575	9940623	5154408	2033	1835	100	100593	-1148
31576	9940640	5154402	1937	2033	100	100588	-1144
31577	9940658	5154398	1992	1975	100	100591	-1147
31578	9940676	5154393	1829	1899	99	100586	-1143
31579	9940695	5154387	1700	1389	99	100593	-1148
31580	9940715	5154383	1566	1073	99	100587	-1143
31581	9940734	5154379	1374	1135	99	100590	-1146
31582	9940752	5154376	1027	1003	99	100586	-1143
31583	9940768	5154373	768	798	99	100581	-1138
31584	9940777	5154370	624	724	99	100583	-1140
31585	9940784	5154368	513	724	99	100586	-1143
31586	9940788	5154367	398	557	99	100593	-1148
31587	9940793	5154365	533	703	99	100577	-1135
31588	9940802	5154364	600	888	99	100583	-1140
31589	9940813	5154362	861	1216	99	100573	-1132
31590	9940825	5154361	1046	1471	99	100580	-1138
31591	9940838	5154359	1214	1619	99	100566	-1126
31592	9940849	5154356	1500	1834	98	100572	-1131
31593	9940859	5154352	1818	1972	98	100569	-1128
31594	9940868	5154348	1944	2073	98	100567	-1127
31595	9940879	5154344	2081	2132	98	100570	-1129
31596	9940893	5154339	2094	1929	98	100571	-1130
31597	9940910	5154333	2318	2216	98	100577	-1135
31598	9940933	5154328	2266	2244	97	100574	-1132
31599	9940958	5154321	2255	2190	97	100566	-1126
31600	9940984	5154316	2133	2108	97	100566	-1126
31601	9941008	5154310	1994	1900	97	100562	-1122
31602	9941029	5154305	1850	1871	96	100556	-1117
31603	9941046	5154300	1714	1928	96	100554	-1116
31604	9941063	5154295	1892	1792	96	100562	-1122
31605	9941078	5154291	1942	2075	96	100560	-1121
31606	9941095	5154286	2074	2133	96	100567	-1127
31607	9941095	5154286	2074	1917	95	100565	-1125
31608	9941137	5154276	2052	2167	95	100562	-1122
31609	9941159	5154271	2039	2223	95	100562	-1122
31610	9941181	5154266	2083	2282	95	100562	-1122
31611	9941200	5154261	2233	2343	94	100554	-1116
31612	9941220	5154255	2274	2339	94	100563	-1123
31613	9941240	5154250	2370	2317	94	100554	-1116
31614	9941262	5154245	2335	2330	94	100555	-1116
31615	9941285	5154239	2390	2345	94	100553	-1115
31616	9941308	5154233	2352	2046	93	100557	-1118
31617	9941330	5154227	2281	1971	93	100560	-1121
31618	9941353	5154221	2274	1953	93	100561	-1122
31619	9941374	5154216	2333	1951	93	100561	-1122
31620	9941397	5154210	2259	2294	93	100559	-1120
31621	9941420	5154204	2263	2018	92	100551	-1113
31622	9941442	5154199	2329	2265	92	100559	-1120
31623	9941466	5154193	2222	2275	92	100559	-1120
31624	9941489	5154187	2261	2263	92	100556	-1117
31625	9941512	5154181	2374	2246	92	100550	-1112
